,Source,Expected,Predicted
0,I respect or despise both so much – I respect your past and despise your present that the interpretation you give to my words was far from my thoughts!',"Per quel tanto che io rispetto e disprezzo e questo e quello.... rispetto il vostro passato, ma disprezzo il presente... ero ben lontano dalla interpretazione che voi avete dato alle mie parole.","Io non amo e tutte queste cose , io ho il vostro passato la tua calma e la vostra fede in questo momento non mi piace — diceva ."
1,"AFTER HIS CONVERSATION with Karenin Vronsky went out on to the Karenins' porch and then stopped, recalling with difficulty where he was and where he ought to go.","Dopo il colloquio con Aleksej Aleksandrovic, Vronskij uscì sulla scala di casa Karenin e vi si fermò, ricordando a stento dove si trovasse e se dovesse andare a piedi o in vettura.","Accompagnata la conversazione con Aleksej Aleksandrovic , Vronskij andò all ’ ingresso dei Karenin e poi si fermò , ricordando la difficoltà dove doveva andare ."
2,"'My head has begun aching,' he said. 'I shall go home.'","— M’è venuto mal di testa, vado a casa — disse a Serpuchovskoj.",— Il mio capo ha cominciato a finire — disse . — Andrò da me — Andrò a casa .
3,"While my jealousy of him lasted, you may be sure I was every day pumping him to see if he would discover any of the new thoughts which I suspected were in him; but I found everything he said was so honest and so innocent, that I could find nothing to nourish my suspicion; and in spite of all my uneasiness, he made me at last entirely his own again; nor did he in the least perceive that I was uneasy, and therefore I could not suspect him of deceit.","Finchè i miei ingiusti timori durarono, potete ben credere che non mi stetti dallo scalzarlo ogni giorno, per trargli qualche cosa di bocca in conferma de’ miei sospetti. Ma lo trovai sì ingenuo, sì leale in quanto mi diceva e rispondeva, che non trovai la menoma cosa atta ad accrescerli; laonde, con tutte le mie cattive suspizioni, tornò a guadagnarsi interamente il mio affetto; nè egli si era accorto menomamente del mio turbamento, nè per conseguenza io potei supporre che cercasse insidiosamente d’addormentarmi.","Mentre mi , si vedeva che in quel giorno io fossi stato di fronte a lui se lo avesse trovato , in lui l ’ avvenire , i quali io aveva detto che , quantunque mi avesse detto , e che non poteva dire così bene a , io non poteva trovare in me stesso altro che ogni qualvolta la mia volontà fosse buono , e che , senza alcun che lo avesse fatto , io lo , non poteva più facilmente capire , non poteva in nulla ."
4,"'And has anything been brought?' inquired Serezha, after a pause.","— E hanno portato qualcosa? — chiese Serëza, dopo un attimo di silenzio.","— E questo è stato forse andato via ? — disse Serëza , dopo un po ’ di silenzio ."
5,"'Mama, is it true?' asked Kitty.","— Mamma, è vero? — disse la voce di Kitty.","— Mamma , è vero ? — chiese Kitty ."
6,"'Yes, as soon as I returned home I put on a black coat,' Vronsky replied with a smile, slowly taking out his opera-glasses.","— Già, appena sono tornato a casa, ho messo il frac — rispose Vronskij, sorridendo e tirando fuori il binocolo con lentezza.","— Sì , appena mi sono tornato , mi sono messo a casa , il cappotto nero — rispose Vronskij , sorridendo , si mise a prendere il binocolo e a ."
7,"When they emerged from the forest his attention was arrested at the sight of a fallow field and a hillock, here and there yellow with grass or broken up and cut into squares, in some parts speckled with heaps of manure, or even ploughed.","Quando ebbero attraversato il bosco, tutta la sua attenzione fu attratta da un maggese su di una collina, ricoperto in un punto di chiazze gialle d’erba secca, in un altro battuto e tagliato a riquadri, in un altro ricoperto di mucchi di letame, e in un altro ancora perfino arato.","Quando entrarono dalla banchina , la sua attenzione fu a un tratto di sotto il campo di legno e un canestro a levante , che si avvicinava , in qualche prato o si , o da qualche partito ."
8,"'They met Steve at the station, he is quite well.","Hanno visto Stiva alla stazione, sta bene.","— Anche Stiva hanno incontrato da Stiva , è completamente piacevole ."
9,"While Mr. Rochester and the other gentlemen directed these alterations, the ladies were running up and down stairs ringing for their maids.","Mentre che i signori dirigevano questi preparativi, le dame salivano e scendevano, chiamando le cameriere.","Mentre il signor Rochester si e gli altri ospiti avevano bisogno di questi , la signorina Ingram si erano seduti e si mise a camminare per la loro mano ."
10,"True enough, it's not little Serezha now, but a complete Sergey Alexeyich!' said Oblonsky, smiling as he looked at a handsome boy in a blue jacket and long trousers who entered the room boldly and confidently.","E non è Serëza, ma un vero e proprio Sergej Alekseevic! — disse, sorridendo, Stepan Arkad’ic, guardando il bel ragazzo dalle spalle larghe che entrava ardito e franco con una giacchetta turchina e i pantaloni lunghi.","È vero , vero , non è vero ! — Serëza , ma un ’ aria particolarmente irritato , Stepan Arkad ’ ic , guardando Sergej Ivanovic con un giovane e un ragazzo in pantaloni coi pantaloni bianchi e ."
11,"Bessie supplied the hiatus by a homily of an hour's length, in which she proved beyond a doubt that I was the most wicked and abandoned child ever reared under a roof.","Bessie supplì a quel silenzio facendomi una predica che durò un'ora, provandomi che ero la bimba più cattiva e più abbandonata che vi fosse al mondo.","Bessie la madre non era pazza per un ' ora di , in cui era stato il che non mi era più nulla da fare . "" Non sapevo che un tetto di pietra ."
12,"Levin handed it to him, and at once the look of passionate hope with which the invalid had received Extreme Unction was fixed on his brother, demanding from him a confirmation of the doctor's words to the effect that inhaling iodine worked miracles.","Levin gli porse il vasetto, e lo stesso sguardo di speranza appassionata, con cui il malato aveva ricevuto l’estrema unzione, si diresse adesso sul fratello, pretendendo da lui la conferma delle parole del dottore sul fatto che le inalazioni di iodio producono miracoli.","Levin lo , e subito subito subito lo sguardo della disperazione con la speranza d ’ impazienza del malato aveva portato a lui l ’ estrema intenzione del fratello , lo chiamò su di lui il dottore che fuori del palazzo ."
13,"And, reader, do you think I feared him in his blind ferocity?--if you do, you little know me.","Credete forse che mi sgomentassi della sua ferocia? Se lo pensate, non mi conoscete.","E il signor Rochester , vi credo che in quella sua crudeltà , se non vi , vi sapete ."
14,"At breakfast I announced to Diana and Mary that I was going a journey, and should be absent at least four days.",A colazione annunciai a Diana e a Maria che partivo e che sarei rimasta assente almeno quattro giorni.,"Alle sette e Diana mi misi a Diana e Maria , che doveva andare in quattro giorni ."
15,"Be of good cheer, Richard; step out--that's it!""","Via, Riccardo, siate coraggioso, cercate di camminare; vedete che tutto va bene.","Tu , non sono buoni , Riccardo ; dimenticate questo ."
